Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	num_targets	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	num_bootstraps	num_processed	num_mapped	percent_mapped	call	start_time	end_time
DIV16.Rep4	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	27703894	25966869	93.73003304156448	quant	Thu Jun 11 11:23:46 2020	Thu Jun 11 11:27:35 2020
DIV21.Rep1	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	27217632	25363386	93.18733532733486	quant	Thu Jun 11 11:27:37 2020	Thu Jun 11 11:31:30 2020
DIV21.Rep2	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	30106174	28284650	93.94966627111103	quant	Thu Jun 11 11:31:32 2020	Thu Jun 11 11:35:30 2020
DIV21.Rep3	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	30609990	28803094	94.0970382545045	quant	Thu Jun 11 11:35:32 2020	Thu Jun 11 11:39:43 2020
DIV21.Rep4	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	30971913	28807880	93.01291786529299	quant	Thu Jun 11 11:39:45 2020	Thu Jun 11 11:44:11 2020
DIV28.Rep1	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	29865150	27853096	93.26286993368524	quant	Thu Jun 11 11:44:12 2020	Thu Jun 11 11:48:23 2020
DIV28.Rep2	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	31166866	29189172	93.6544983380748	quant	Thu Jun 11 11:48:24 2020	Thu Jun 11 11:52:18 2020
DIV28.Rep3	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	28047483	26214468	93.46460072727382	quant	Thu Jun 11 11:52:20 2020	Thu Jun 11 11:55:55 2020
DIV28.Rep4	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	31403393	29366097	93.51249720054136	quant	Thu Jun 11 11:55:57 2020	Thu Jun 11 11:59:33 2020
DIV7.Rep1	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	36313654	33872646	93.27798849435533	quant	Thu Jun 11 10:53:21 2020	Thu Jun 11 10:57:24 2020
