ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
268	110,56,59,26	0,0,0,0	49,37,56,28	2,0,0,0	2792	39
270	6,0,0,0	23,4,11,15	0,0,0,6	3,18,3,21	72	39
271	1,0,0,0	21,5,24,5	0,2,0,1	14,0,16,17	94	39
273	234,136,203,137	1,0,2,0	106,179,95,159	0,0,0,0	93	39
279	8,16,17,3	1,0,0,0	5,3,6,30	0,4,1,4	51	39
280	5,1,0,1	14,2,0,0	12,6,4,13	1,4,2,0	130	39
281	8,4,3,0	0,0,0,0	2,2,4,1	0,0,0,1	42	39
282	11,0,0,0	0,6,13,4	6,0,0,0	0,0,0,0	108	39
283	67,32,64,36	5,0,0,0	59,54,62,65	0,2,0,0	90	39
285	4,2,0,0	0,5,0,0	0,3,0,0	0,0,0,0	42	39
286	57,32,64,32	24,14,13,23	42,39,33,32	15,22,8,2	45	39
287	2,3,3,2	28,13,39,41	0,0,0,0	21,28,33,55	60	39
288	0,1,0,1	47,26,58,17	0,3,0,1	22,31,22,27	64	39
291	4,1,0,6	2,0,1,9	4,18,3,7	0,0,0,0	42	39
292	7,0,7,0	0,0,0,0	5,2,2,5	1,0,0,0	69	39
294	0,0,0,5	0,0,0,0	0,0,0,0	0,0,0,5	94	39
297	0,0,0,0	9,1,8,9	2,0,1,0	0,7,5,1	102	39
298	565,374,501,361	2,0,0,0	455,496,363,476	0,0,0,0	149	39
299	172,104,173,95	10,13,18,5	129,150,103,138	8,15,15,14	42	39
300	3,4,0,0	15,7,15,0	0,0,0,0	14,28,12,5	63	39
301	15,4,0,2	72,44,81,51	8,10,6,5	33,38,24,26	60	39
302	73,33,68,27	3,2,0,0	44,37,14,59	2,0,0,0	82	39
303	176,75,149,69	3,2,0,0	107,85,54,121	2,0,0,0	128	39
304	107,42,81,42	4,0,0,0	65,48,42,62	2,0,2,0	85	39
305	1,3,0,3	7,4,0,3	3,5,2,4	0,10,0,7	51	39
307	5,9,1,6	37,36,19,47	0,0,6,1	37,14,39,45	50	39
309	1,0,9,4	0,1,3,0	2,0,0,11	0,0,0,0	42	39
311	0,0,0,3	17,1,7,7	0,0,0,0	5,0,2,8	45	39
312	0,0,0,0	3,5,3,0	0,0,2,14	2,2,3,1	1135	39
313	22,24,20,16	0,0,0,0	39,23,20,24	0,0,3,0	123	39
314	16,16,15,10	1,5,1,0	21,34,26,26	0,2,4,7	97	39
315	22,3,32,23	1,0,0,0	19,25,13,4	0,0,0,5	76	39
316	15,2,20,19	1,0,0,0	21,19,13,1	0,0,0,5	115	39
317	0,2,1,0	7,3,13,4	4,1,0,0	2,7,0,3	78	39
318	5,11,12,22	0,0,0,0	16,41,22,22	0,0,2,0	187	39
320	22,6,27,21	4,4,3,9	21,27,28,10	0,5,0,0	103	39
322	5,0,6,8	2,0,0,0	10,5,6,7	0,0,3,1	84	39
324	127,71,79,49	12,5,4,2	62,70,58,56	6,13,0,0	42	39
325	8,12,14,5	11,3,17,4	8,0,13,9	14,13,1,10	123	39
329	148,51,141,79	0,0,0,0	65,84,67,108	0,0,2,1	42	39
330	4,2,1,2	0,1,0,0	0,0,4,5	0,0,0,0	210	39
333	102,47,107,39	45,23,52,33	76,76,66,65	62,33,23,46	42	39
335	7,2,14,6	3,0,0,0	3,7,2,0	0,0,0,0	81	39
336	43,11,36,21	0,4,0,0	29,24,17,14	0,0,0,0	63	39
338	0,0,0,2	6,1,13,18	0,7,0,0	3,12,2,19	44	39
340	6,4,13,2	15,3,18,8	7,0,9,11	15,4,18,18	138	39
341	17,22,33,16	76,32,48,34	29,41,26,15	44,35,31,51	93	39
346	0,0,1,0	29,24,22,31	1,0,0,0	28,27,23,17	112	39
348	73,46,43,37	6,2,0,2	35,56,64,53	7,6,5,4	42	39
349	23,8,27,6	79,39,51,52	21,12,12,9	55,58,40,34	170	39
352	82,60,60,28	3,0,0,0	54,62,35,48	0,0,0,2	84	39
354	23,26,22,14	14,20,28,11	15,23,14,12	13,15,20,14	42	39
355	41,22,24,21	0,0,0,0	34,32,26,34	1,9,0,8	238	39
356	32,16,42,12	0,3,0,0	29,13,24,10	1,4,0,0	154	39
357	0,0,0,2	9,8,10,15	0,1,0,0	13,11,16,8	65	39
358	4,4,0,5	2,2,5,7	0,0,0,0	9,4,6,4	60	39
361	6,0,4,0	0,0,0,0	0,0,0,0	1,13,0,0	1436	39
362	0,2,4,0	3,0,0,0	4,2,0,0	0,0,0,4	180	39
365	18,12,11,18	0,0,0,0	17,0,10,8	0,0,0,6	41	39
366	1,2,0,0	2,1,10,1	0,0,0,0	0,0,3,3	53	39
367	3,0,0,0	15,0,8,3	0,0,0,0	1,7,9,9	53	39
369	4,3,6,9	68,65,55,43	12,5,0,3	43,47,46,56	61	39
370	0,3,0,0	146,99,173,60	0,0,0,2	77,90,110,138	59	39
373	4,0,0,0	4,0,0,0	0,0,2,0	0,0,0,1	81	39
376	1,0,0,0	21,29,15,3	0,0,0,3	6,4,5,13	196	39
