ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
5173	141,43,172,106	0,0,0,0	93,154,85,111	1,0,0,0	78	39
5174	47,42,56,55	0,0,0,0	41,48,43,64	1,0,0,0	78	39
5178	87,44,106,45	4,2,0,0	97,117,66,76	3,0,0,0	78	39
5179	50,27,83,24	0,0,0,0	59,79,28,54	0,0,4,0	78	39
5180	91,16,101,35	0,0,0,0	42,47,43,62	0,0,4,0	78	39
5181	127,31,128,56	3,0,4,0	81,85,81,84	4,0,0,0	78	39
5184	2,0,0,8	0,4,0,0	1,0,1,5	0,0,7,0	78	39
5185	82,83,98,52	0,0,2,0	58,73,49,45	0,0,0,0	78	39
5186	108,105,132,52	0,0,0,0	98,133,62,46	0,3,0,0	78	39
5187	213,160,80,81	6,0,0,0	162,153,100,217	0,0,0,0	78	39
5188	73,86,37,22	6,0,0,0	84,59,46,108	0,0,0,0	78	39
5189	147,108,93,89	0,0,1,6	161,152,119,147	3,0,0,0	78	39
5191	5,1,2,0	2,2,8,5	12,17,0,0	0,0,3,3	78	39
5192	6,11,10,7	4,4,11,0	5,4,7,6	6,5,1,0	78	39
5193	45,25,16,14	0,5,0,0	24,20,27,30	0,0,0,0	78	39
5194	38,12,14,5	0,0,0,4	17,4,6,18	0,0,0,0	78	39
5204	2,0,0,3	55,56,42,34	0,0,3,0	61,35,39,47	78	39
5205	13,4,7,17	1,2,5,0	10,16,6,25	0,5,3,0	78	39
5206	298,206,304,158	25,6,7,4	202,217,213,226	12,9,9,2	78	39
5210	14,11,6,17	38,17,30,23	12,5,5,3	35,23,39,32	78	39
5211	7,6,10,0	37,21,22,33	11,2,0,3	28,20,16,31	78	39
5212	20,13,12,5	37,21,22,33	13,23,11,15	28,20,16,31	78	39
5213	4,2,0,0	0,0,0,8	6,8,8,3	5,5,1,2	78	39
5214	9,10,8,10	0,0,0,2	19,5,1,0	0,0,0,0	78	39
5217	0,0,0,0	3,6,0,2	6,0,0,0	3,0,4,7	78	39
5218	0,0,0,0	3,6,0,2	0,2,0,0	3,0,4,7	78	39
5221	3,6,16,16	0,1,0,0	4,9,9,18	0,0,0,0	78	39
5222	14,3,1,10	0,0,0,0	26,4,1,28	1,0,0,0	78	39
5231	2,4,0,3	0,0,3,0	3,0,9,0	3,0,0,0	78	39
5233	5,0,0,0	0,1,0,0	3,2,0,0	3,0,0,5	78	39
5235	1,5,3,1	0,0,0,0	8,4,5,9	0,0,4,0	78	39
5240	4,0,6,10	3,0,7,0	15,8,1,9	0,0,0,0	78	39
5245	91,92,151,111	0,0,0,0	94,133,82,56	2,0,0,0	78	39
5246	0,0,0,0	0,1,10,0	0,0,2,0	0,0,0,0	78	39
5247	9,1,10,3	0,0,0,0	0,0,0,0	0,4,0,0	78	39
5249	0,1,0,0	3,0,0,10	0,0,0,0	1,3,0,0	78	39
5250	81,54,67,26	99,60,52,45	53,52,68,59	51,58,54,34	78	39
5251	0,0,1,0	73,41,47,13	4,1,0,2	18,38,34,34	78	39
5252	18,13,45,36	0,0,6,3	16,32,24,39	4,5,0,1	78	39
5253	0,0,0,0	10,4,21,18	0,0,0,1	8,12,5,24	78	39
5254	0,0,0,0	10,4,21,18	0,0,0,1	8,12,5,24	78	39
5255	0,0,0,0	10,4,21,18	0,0,0,1	8,12,5,24	78	39
5259	16,19,13,22	5,4,14,5	8,25,32,26	0,18,5,1	78	39
5260	11,12,4,20	5,4,14,5	5,14,16,21	0,18,5,1	78	39
5263	8,0,10,0	78,36,60,48	10,7,4,3	56,64,24,30	78	39
5264	242,173,166,134	5,0,0,0	152,133,104,157	0,0,0,0	78	39
5265	1,0,13,2	0,0,0,0	0,0,0,1	2,0,0,0	78	39
5266	1,1,0,0	0,4,0,0	0,0,1,0	0,0,0,0	78	39
5271	15,13,12,22	0,0,0,0	15,11,10,7	0,0,1,0	78	39
5272	44,25,63,29	1,0,0,0	25,23,15,14	0,0,0,4	78	39
5281	28,14,20,12	6,2,9,3	24,10,20,10	2,0,3,6	78	39
5287	0,0,0,3	0,0,0,0	0,6,1,2	0,0,1,0	78	39
5288	0,0,0,0	12,6,3,0	0,3,0,0	3,0,0,0	78	39
5291	138,141,197,86	9,12,1,7	112,157,111,144	6,8,0,5	78	39
5292	713,549,778,348	9,12,1,7	425,507,424,474	6,8,0,5	69	39
5294	541,354,572,277	0,0,0,3	299,340,268,369	0,0,1,0	68	39
5295	443,328,469,279	349,166,272,190	351,474,331,501	108,132,137,150	78	39
5296	917,665,856,542	3,5,2,0	631,621,488,653	0,3,0,3	72	39
5297	238,173,185,148	0,0,5,0	139,167,125,208	0,0,0,0	78	39
5298	183,94,155,134	0,0,0,0	92,145,91,142	6,0,2,0	78	39
5300	178,122,113,81	0,0,0,0	69,144,72,91	3,0,0,0	78	39
5304	139,88,147,92	1,0,0,0	82,74,87,55	2,0,0,0	78	39
5305	80,46,84,49	1,0,0,0	49,41,54,34	2,0,0,0	78	39
5306	2718,3526,3377,2480	4,0,0,0	3189,3687,2671,2782	0,0,0,0	78	39
5308	8817,5902,6027,4881	0,0,0,0	6157,6810,4913,6032	0,0,0,1	78	39
5309	3,1,5,0	10,8,0,0	4,18,2,6	4,6,3,2	78	39
5310	1,11,4,3	2,2,0,0	1,0,1,0	4,8,0,4	78	39
5314	16,12,43,24	0,0,0,0	22,17,10,14	1,0,0,0	78	39
5317	12,6,8,9	7,0,1,0	18,6,6,14	2,0,3,0	62	39
5318	23,5,21,10	0,0,0,0	4,7,4,32	2,0,0,0	78	39
5319	8,6,6,0	10,0,6,9	7,0,7,0	0,5,0,3	78	39
5326	8,4,12,12	2,0,10,4	2,3,8,3	0,3,1,0	78	39
5328	20,10,15,18	0,0,0,0	16,17,24,5	0,0,2,0	78	39
5329	193,86,68,40	2,0,0,0	62,75,76,36	0,0,0,0	78	39
5331	4,5,9,5	0,0,0,0	4,2,0,4	0,0,1,0	78	39
5332	8,0,2,5	4,0,2,0	3,10,10,0	0,0,3,0	78	39
5334	24,7,17,6	0,0,0,0	14,6,7,4	1,0,0,0	78	39
5340	36,30,48,38	0,0,0,0	26,44,19,37	0,0,1,0	78	39
5342	41,20,14,10	3,0,0,0	21,29,18,11	0,0,0,0	78	39
5343	118,66,47,32	3,0,0,0	66,90,53,52	0,0,0,0	78	39
5346	24,2,20,5	0,0,0,0	8,11,23,8	1,0,0,3	78	39
5348	125,70,104,75	3,0,0,0	73,50,87,89	0,0,0,0	78	39
5349	109,48,83,63	3,0,0,0	67,54,52,99	0,0,1,0	70	39
5351	31,19,13,13	2,0,0,0	32,10,43,14	0,0,0,0	78	39
5353	2,12,3,10	4,3,0,0	3,7,7,11	3,2,1,4	78	39
5354	10,23,6,16	4,3,0,0	9,7,6,14	3,2,1,4	78	39
5358	74,35,46,67	0,0,0,0	28,69,38,24	0,0,5,0	78	39
5360	35,27,15,12	0,3,0,0	22,27,19,34	0,0,1,0	78	39
5362	0,7,0,0	61,43,52,44	0,0,0,0	30,25,44,31	78	39
5364	544,366,440,269	8,6,5,0	266,320,311,361	4,0,6,0	78	39
5365	350,241,295,189	2,3,0,1	193,192,211,255	1,14,0,0	78	39
5366	195,125,145,82	8,6,5,0	73,128,100,107	4,0,6,0	78	39
5367	9,6,5,0	2,3,0,1	4,0,6,0	1,14,0,0	78	39
5368	5,6,0,0	0,0,0,0	1,10,3,12	0,0,0,4	78	39
5369	5,5,0,0	405,206,280,112	1,11,3,12	221,229,163,183	78	39
5370	2,0,3,5	405,206,280,112	0,0,0,4	221,229,163,183	78	39
5371	2,1,3,5	0,0,0,0	0,0,0,0	0,1,0,0	78	39
5372	859,489,606,370	1,0,0,0	431,454,349,415	0,0,0,0	78	39
5373	388,201,254,193	1,0,0,0	173,157,147,192	0,0,0,0	64	39
5374	11,7,4,4	2,9,18,18	0,18,3,8	9,13,15,2	78	39
