ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
263	0,0,0,8	0,0,0,0	0,0,8,4	3,0,0,0	78	78
264	5,0,0,3	7,0,7,3	0,3,3,5	11,4,3,2	78	78
265	23,8,3,3	12,12,3,6	7,13,6,3	3,4,9,7	78	78
266	23,3,3,3	0,0,0,0	7,13,6,3	0,0,3,0	78	78
267	18,18,12,1	10,15,24,6	9,13,12,5	16,9,9,5	78	78
270	1,0,1,0	1692,1119,2087,1351	1,1,0,1	1172,1421,1004,1606	78	78
271	1149,752,1343,860	2688,1711,3209,1853	1099,1348,918,1239	2014,2237,1764,2491	78	78
275	0,0,0,0	2,2,10,5	0,5,0,0	4,0,0,5	58	78
276	58,65,63,19	71,30,42,23	54,32,49,26	25,39,18,33	78	78
277	277,138,200,138	201,144,141,100	150,137,114,152	88,155,95,123	78	78
278	9,0,0,0	4,11,0,18	0,0,3,0	0,5,4,6	78	78
279	111,59,45,27	64,62,47,38	49,56,25,57	47,36,21,38	78	78
280	193,147,138,99	32,28,34,16	154,171,81,147	35,56,26,27	78	78
281	89,71,102,44	306,183,190,196	90,87,52,87	203,183,162,176	78	78
282	1,0,0,0	0,0,0,0	0,8,0,0	3,0,0,2	78	78
283	27,23,26,16	6,1,7,8	28,22,30,30	1,0,1,2	78	78
284	218,85,159,50	516,203,331,289	129,105,100,120	323,364,220,336	78	78
287	20,11,17,3	28,20,17,34	3,14,15,7	24,39,8,14	78	78
288	2,3,0,3	7,5,15,8	5,4,0,2	6,4,7,7	78	78
292	49,16,52,19	1,2,0,0	26,37,8,35	0,0,0,0	78	78
293	0,0,0,4	11,10,0,10	0,0,0,0	2,0,0,2	78	78
294	0,0,3,2	1,0,10,10	0,0,1,0	6,2,0,0	78	78
295	91,16,101,35	50,27,83,24	42,47,43,62	59,79,28,54	78	78
296	69,70,68,33	43,48,32,33	62,91,40,30	22,34,27,29	78	78
302	84,53,53,34	64,34,59,19	24,39,32,21	33,30,25,40	78	78
303	1979,2410,2239,2046	486,478,587,354	2304,2703,2017,2334	472,597,406,377	78	78
304	2,0,3,5	5,5,0,0	0,0,0,4	1,11,3,12	78	78
306	69,28,37,17	82,73,79,48	53,26,35,34	87,69,51,60	78	78
307	5,5,4,0	4,3,0,2	7,0,0,2	5,2,0,5	78	78
308	129,94,131,68	102,88,101,63	63,61,57,94	92,107,58,119	78	78
309	5,0,8,6	6,3,3,6	1,0,0,0	5,7,1,0	78	78
310	4,0,0,7	5,1,9,5	1,0,3,6	5,0,1,6	78	78
311	5,4,0,3	7,5,8,0	7,4,0,3	4,13,5,4	78	78
312	11,1,0,6	4,0,9,1	9,2,1,6	2,0,2,0	78	78
313	11,7,13,3	178,119,109,71	10,15,2,13	96,75,61,85	78	78
314	5,2,13,4	12,5,20,15	2,5,5,6	14,8,4,13	78	78
315	17,12,3,4	14,16,10,0	9,6,15,14	19,4,10,4	78	78
316	43,46,22,20	46,41,43,87	26,20,15,20	43,28,36,40	78	78
317	15,11,7,7	19,14,8,3	10,2,16,6	8,1,3,2	78	78
318	4,6,2,5	13,9,4,3	9,0,4,4	8,1,2,2	78	78
319	7,7,2,2	19,14,8,3	9,0,13,7	8,1,3,2	78	78
320	47,20,44,17	22,29,34,34	23,28,24,22	21,19,16,8	78	78
321	1,1,0,0	15,3,25,26	0,0,0,0	11,14,11,33	78	78
322	196,121,118,117	127,89,108,57	110,201,98,118	90,90,69,109	78	78
323	157,108,122,93	127,91,110,61	72,104,48,84	60,76,80,66	78	78
324	30,28,24,19	42,34,33,25	18,19,19,38	29,28,45,60	78	78
325	286,201,222,187	0,0,0,1	166,119,169,215	0,8,0,0	78	78
328	0,0,0,5	0,0,0,0	0,3,0,5	0,0,0,5	78	78
331	0,4,3,1	23,13,46,12	2,0,1,4	23,15,15,18	78	78
332	64,51,78,40	45,34,38,28	53,69,57,84	36,30,41,45	78	78
334	94,36,31,41	63,25,17,18	53,36,59,44	24,18,46,46	78	78
336	10,6,17,2	15,9,6,5	7,20,11,7	7,6,7,9	78	78
337	0,0,0,0	14,18,10,10	1,0,0,0	9,0,4,5	78	78
338	9,3,13,0	14,18,7,10	5,17,4,8	7,0,4,5	78	78
339	16,21,17,6	48,21,29,34	9,12,6,23	56,36,32,38	78	78
341	36,17,6,13	57,13,60,24	16,15,5,16	30,32,18,26	78	78
342	31,27,27,26	45,12,13,23	17,19,13,5	6,4,21,11	76	78
343	2,0,0,6	0,0,0,0	0,0,0,0	0,0,0,3	78	78
344	0,0,3,0	7,4,3,5	0,0,4,4	5,6,3,12	64	78
346	0,1,4,0	26,17,31,30	3,4,0,0	25,32,21,33	78	78
347	1,1,0,0	38,21,28,30	6,5,3,0	21,24,14,39	78	78
348	27,29,26,6	38,21,28,30	16,17,22,20	21,24,13,39	78	78
349	23,10,7,17	29,20,17,14	10,16,9,15	6,8,5,2	78	74
350	0,1,0,5	21,9,4,18	0,0,1,0	5,7,8,2	78	78
351	12,5,11,10	17,12,9,9	8,15,5,19	13,19,3,12	78	78
356	0,6,15,6	11,14,11,0	2,5,10,1	10,0,7,8	78	78
357	4,3,0,0	16,5,7,5	7,5,0,0	5,2,10,3	78	78
358	24,8,12,2	39,22,45,42	15,4,14,24	40,12,25,22	78	78
359	5,0,0,3	1,4,1,0	7,1,0,0	8,2,2,0	78	78
360	42,8,39,22	15,10,17,7	23,56,24,24	16,31,8,18	78	78
361	0,0,0,0	2,0,0,0	3,0,0,5	0,0,5,0	78	78
362	84,86,74,76	48,53,43,22	72,86,71,53	27,46,31,46	78	78
363	69,80,84,52	25,7,7,1	44,80,36,54	12,1,3,1	78	78
364	31,25,33,12	54,23,59,21	26,16,11,38	22,38,37,34	78	78
366	73,76,77,65	134,84,161,77	67,57,48,66	74,119,100,107	78	78
368	73,42,86,44	5,3,6,8	44,69,50,109	6,0,7,4	78	55
369	67,32,49,30	106,62,71,49	34,18,27,34	62,85,66,60	78	78
371	0,0,0,0	0,4,2,0	1,0,0,0	1,6,0,0	78	78
372	12,30,22,27	20,24,59,26	23,22,11,26	23,36,24,27	78	78
373	1,0,0,6	30,6,23,6	0,0,0,0	18,5,6,9	78	78
374	1,2,0,0	1,13,13,9	7,0,0,0	8,6,3,9	78	78
376	98,45,67,57	48,35,60,28	82,83,50,49	24,39,23,37	78	78
377	62,24,57,41	0,0,0,0	60,69,40,38	0,0,1,0	78	78
378	79,34,64,31	105,74,81,46	50,48,32,41	94,76,40,55	78	78
379	14,13,6,12	21,28,11,23	15,18,6,17	18,13,8,21	78	78
380	0,0,1,12	7,6,6,10	1,3,0,7	14,12,3,10	78	78
381	204,201,258,149	159,100,122,91	155,166,205,180	131,144,124,147	77	78
383	55,32,27,49	44,42,43,28	43,66,33,42	34,59,31,40	78	78
384	14,4,14,30	29,13,0,14	8,12,11,16	11,20,5,21	78	78
386	51,42,48,47	142,120,119,115	51,36,42,24	108,141,85,116	78	78
387	61,52,43,22	102,58,56,53	24,81,42,45	76,131,51,77	78	78
389	14,7,23,8	5,7,11,8	7,16,6,13	20,8,14,10	78	78
391	46,26,36,11	35,29,22,25	23,29,33,17	36,28,22,42	78	78
392	39,39,20,32	45,46,65,36	36,17,14,19	35,64,39,42	78	78
393	0,4,0,0	1,1,5,3	0,0,0,0	1,0,1,3	71	78
394	175,106,140,79	104,61,51,31	87,98,68,97	68,42,53,31	78	78
395	47,31,53,28	50,44,54,35	34,39,14,24	32,13,22,49	78	78
396	5,3,7,0	0,3,0,0	1,0,5,6	1,0,0,1	78	78
397	27,5,26,5	37,14,25,0	4,3,8,17	5,15,1,7	78	78
398	14,17,19,5	52,24,24,26	13,15,18,16	33,33,23,20	78	78
399	235,140,129,109	96,54,80,31	159,168,121,114	98,51,44,61	78	78
400	61,30,71,39	83,47,53,44	49,35,30,21	65,60,43,59	78	78
401	11,8,12,22	43,45,51,33	25,8,9,22	46,56,30,67	78	78
416	9,11,18,7	40,10,10,16	15,12,14,5	5,40,13,37	78	78
419	869,580,791,560	4,0,7,3	582,728,464,736	12,2,4,3	78	78
420	9,14,31,24	11,8,24,15	27,16,9,17	21,18,13,7	78	78
421	89,55,69,52	59,51,58,48	58,50,57,59	56,44,36,68	78	78
422	161,88,138,84	74,48,60,42	93,123,109,74	34,34,36,27	78	78
423	0,0,1,7	38,20,33,12	4,0,5,2	13,27,28,15	78	78
425	7,1,18,6	33,26,33,19	2,15,7,7	20,36,7,20	78	78
426	16,3,17,4	28,7,24,12	9,11,14,10	13,26,7,20	78	78
427	22,4,25,29	9,19,46,29	19,20,22,38	22,47,19,9	78	78
429	0,3,4,9	82,39,65,54	8,7,0,1	60,58,75,74	78	78
431	35,10,40,13	7,0,3,0	5,26,18,13	0,3,0,0	78	74
433	2,0,0,0	0,1,1,0	0,0,1,0	0,0,1,1	78	78
435	21,9,11,8	18,6,4,10	19,10,3,18	22,4,10,8	78	78
436	20,10,38,25	15,4,22,5	16,14,8,24	8,14,7,8	78	78
437	312,216,412,266	350,240,468,333	344,396,305,288	329,462,274,470	78	78
438	5,1,8,6	2,0,0,3	6,8,4,4	0,0,0,0	78	78
439	322,243,308,175	288,217,242,152	197,237,175,248	145,203,151,216	78	78
440	0,0,0,0	2,0,4,0	0,0,2,0	1,0,0,0	78	58
441	6,3,10,8	12,9,7,9	5,10,4,7	6,1,8,9	78	78
442	12,7,10,10	15,21,21,8	8,17,12,10	21,30,10,22	78	78
444	1,4,0,8	9,3,10,4	0,0,0,0	4,4,0,7	78	78
445	35,27,28,24	26,12,11,44	22,24,14,36	17,9,7,21	78	78
446	0,0,2,0	2,0,0,0	0,0,1,0	0,0,5,4	78	74
447	0,0,2,0	2,0,0,0	0,0,1,0	0,0,5,5	78	78
449	3,0,6,0	10,5,15,0	2,2,4,9	15,23,2,1	78	78
450	3,0,6,0	10,5,15,0	2,2,4,9	15,23,2,1	78	78
462	0,8,4,0	2,4,5,2	3,0,2,4	6,5,0,2	78	78
463	210,109,185,117	254,135,273,164	127,111,82,109	141,198,122,183	78	78
464	2,13,14,4	19,3,1,0	5,0,1,8	3,3,11,10	78	78
465	36,20,15,8	34,47,54,22	12,49,21,22	34,22,22,32	78	78
468	41,35,53,31	34,30,31,21	27,42,32,59	31,29,36,25	78	78
469	4,0,0,0	2,0,7,0	0,0,0,0	0,0,0,3	78	78
470	22,13,25,2	8,5,5,14	20,9,15,43	25,31,21,34	78	78
471	6,13,13,14	4,0,0,2	18,8,8,30	4,0,0,2	78	78
472	6,13,12,14	34,11,45,11	18,8,8,33	45,17,18,30	78	78
473	43,10,20,20	8,5,6,9	1,29,17,12	5,8,4,7	78	78
474	14,12,14,11	15,5,6,6	11,5,5,11	6,8,1,4	78	78
476	8,0,3,0	3,5,0,5	1,5,5,2	15,3,4,0	78	78
477	8,0,3,0	4,2,6,0	1,5,5,0	1,1,4,3	78	78
478	16,7,18,6	25,40,29,38	29,22,7,16	22,19,23,18	78	78
479	16,7,18,6	30,37,28,37	29,22,7,16	19,24,25,20	78	78
482	56,3,35,17	51,20,39,32	26,16,33,28	60,56,26,47	78	78
